Epoch #,Start Time,End Time,Score #, Score
339,06/15/2021 12:21:17,06/15/2021 12:21:20,1,Wake
340,06/15/2021 12:21:20,06/15/2021 12:21:23,1,Wake
341,06/15/2021 12:21:23,06/15/2021 12:21:26,1,Wake
342,06/15/2021 12:21:26,06/15/2021 12:21:29,1,Wake
343,06/15/2021 12:21:29,06/15/2021 12:21:32,1,Wake
344,06/15/2021 12:21:32,06/15/2021 12:21:35,1,Wake
345,06/15/2021 12:21:35,06/15/2021 12:21:38,1,Wake
346,06/15/2021 12:21:38,06/15/2021 12:21:41,1,Wake
347,06/15/2021 12:21:41,06/15/2021 12:21:44,1,Wake
348,06/15/2021 12:21:44,06/15/2021 12:21:47,1,Wake
349,06/15/2021 12:21:47,06/15/2021 12:21:50,1,Wake
350,06/15/2021 12:21:50,06/15/2021 12:21:53,1,Wake
351,06/15/2021 12:21:53,06/15/2021 12:21:56,1,Wake
352,06/15/2021 12:21:56,06/15/2021 12:21:59,1,Wake
353,06/15/2021 12:21:59,06/15/2021 12:22:02,1,Wake
354,06/15/2021 12:22:02,06/15/2021 12:22:05,1,Wake
355,06/15/2021 12:22:05,06/15/2021 12:22:08,1,Wake
356,06/15/2021 12:22:08,06/15/2021 12:22:11,1,Wake
357,06/15/2021 12:22:11,06/15/2021 12:22:14,1,Wake
358,06/15/2021 12:22:14,06/15/2021 12:22:17,1,Wake
359,06/15/2021 12:22:17,06/15/2021 12:22:20,1,Wake
360,06/15/2021 12:22:20,06/15/2021 12:22:23,1,Wake
361,06/15/2021 12:22:23,06/15/2021 12:22:26,1,Wake
362,06/15/2021 12:22:26,06/15/2021 12:22:29,1,Wake
363,06/15/2021 12:22:29,06/15/2021 12:22:32,1,Wake
364,06/15/2021 12:22:32,06/15/2021 12:22:35,1,Wake
365,06/15/2021 12:22:35,06/15/2021 12:22:38,1,Wake
366,06/15/2021 12:22:38,06/15/2021 12:22:41,1,Wake
367,06/15/2021 12:22:41,06/15/2021 12:22:44,1,Wake
368,06/15/2021 12:22:44,06/15/2021 12:22:47,1,Wake
369,06/15/2021 12:22:47,06/15/2021 12:22:50,1,Wake
370,06/15/2021 12:22:50,06/15/2021 12:22:53,1,Wake
371,06/15/2021 12:22:53,06/15/2021 12:22:56,1,Wake
372,06/15/2021 12:22:56,06/15/2021 12:22:59,1,Wake
373,06/15/2021 12:22:59,06/15/2021 12:23:02,2,Non REM
374,06/15/2021 12:23:02,06/15/2021 12:23:05,2,Non REM
375,06/15/2021 12:23:05,06/15/2021 12:23:08,2,Non REM
376,06/15/2021 12:23:08,06/15/2021 12:23:11,2,Non REM
377,06/15/2021 12:23:11,06/15/2021 12:23:14,2,Non REM
378,06/15/2021 12:23:14,06/15/2021 12:23:17,2,Non REM
379,06/15/2021 12:23:17,06/15/2021 12:23:20,2,Non REM
380,06/15/2021 12:23:20,06/15/2021 12:23:23,2,Non REM
381,06/15/2021 12:23:23,06/15/2021 12:23:26,2,Non REM
382,06/15/2021 12:23:26,06/15/2021 12:23:29,1,Wake
383,06/15/2021 12:23:29,06/15/2021 12:23:32,1,Wake
384,06/15/2021 12:23:32,06/15/2021 12:23:35,1,Wake
385,06/15/2021 12:23:35,06/15/2021 12:23:38,1,Wake
386,06/15/2021 12:23:38,06/15/2021 12:23:41,1,Wake
387,06/15/2021 12:23:41,06/15/2021 12:23:44,1,Wake
388,06/15/2021 12:23:44,06/15/2021 12:23:47,1,Wake
389,06/15/2021 12:23:47,06/15/2021 12:23:50,1,Wake
